x,refraction
49.00,0.13
59.00,0.14
70.00,0.16
80.00,0.17
90.00,0.18
99.00,0.20
110.00,0.21
119.00,0.23
129.00,0.24
140.00,0.26
149.00,0.27
160.00,0.28
169.00,0.30
180.00,0.31
189.00,0.33
199.00,0.34
210.00,0.36
220.00,0.37
229.00,0.38
239.00,0.40
250.00,0.41
259.00,0.43
269.00,0.44
280.00,0.46
290.00,0.47
299.00,0.48
310.00,0.50
320.00,0.51
329.00,0.53
339.00,0.54
350.00,0.55
360.00,0.56
369.00,0.57
379.00,0.58
390.00,0.59
399.00,0.60
409.00,0.61
420.00,0.62
430.00,0.63
440.00,0.64
449.00,0.65
459.00,0.66
469.00,0.67
479.00,0.68
489.00,0.69
500.00,0.70
